id,surah,ayat,translation
1,Al-Fatihah,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,In the name of Allah the Entirely Merciful the Especially Merciful.
2,Al-Fatihah,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,All praise is due to Allah Lord of the worlds.
3,Al-Fatihah,الرَّحْمَٰنِ الرَّحِيمِ,The Entirely Merciful the Especially Merciful
